"","mean_honey_ab","mean_wild_ab","mean_social_rich","cluster","eiqB11F.pre","eiqB11I.pre","eiqB11F.blm","eiqB11I.blm","eiqB11T.blm","eiqB11F.pos","eiqB11I.pos","eiqB11T.pos","pest_rating","insect_rating","thinner_rating"
"1",5.45833333333333,1.06249973230365,0.474377435366151,1,127.375555555556,0.149555555555556,49.6211111111111,11.7955555555556,0.361833333333333,22.5766666666667,15.06,0.408555555555556,0,1,1
"2",10.8333333333333,1.56383650201045,0.280530389675167,2,161.57,0,53.16,9.36,0,31.37,57.66,0,0,0,0
"3",3.25,1.06157882624874,0.272008069255708,3,163.95,2.31,112.9,12.62,0.025,88.69,51.87,0.041,1,1,0
"4",4,0.97981522163423,0.268764540370125,4,112.475,0,115.105,6.24,0.11,60.625,8.585,0.035,1,0,1
"5",8,2.05127251094392,0.266468872641544,5,31.515,3.37,31.23,9.87,0.013,19.93,9.555,0,0,0,0
"6",10.25,1.58800734704323,0.294927930504773,6,9.38,0,37.44,36.36,0.46,24.39,34.75,0,0,1,1
"7",5.5,1.17421322812948,0.448796787000751,7,18.03,0,70.09,13.1,0,20.53,2.28,0,1,1,0
